Seq_number	New_name	Date_collected	Project	Site	Bio_rep	Tech_rep	Location	Replicate	Control_Type	Sample_Control	MPA	Mean_depth	kelp_a_MeanDensity_sqm	kelp_j_MeanDensity_sqm	Sarg_a_MeanDensity_sqm	Sarg_j_MeanDensity_sqm	Algae_Mean_avg	k	Replicate_per_site	Replicate_per_location	k_location
PP.B.3.S6.L001	Potatoe_Pasture-B-3	2017-08-11	Scorpion	MPA	B	3	PP_B	PP_B3	NA	Sample	Inside	11.21	1.08	0.8	3.61	10.91	4.1	9	B	3	3
PP.C.1.S7.L001	Potatoe_Pasture-C-1	2017-08-11	Scorpion	MPA	C	1	PP_C	PP_C1	NA	Sample	Inside	11.21	1.08	0.8	3.61	10.91	4.1	9	C	1	3
PP.C.2.S8.L001	Potatoe_Pasture-C-2	2017-08-11	Scorpion	MPA	C	2	PP_C	PP_C2	NA	Sample	Inside	11.21	1.08	0.8	3.61	10.91	4.1	9	C	2	3
PP.C.3.S9.L001	Potatoe_Pasture-C-3	2017-08-11	Scorpion	MPA	C	3	PP_C	PP_C3	NA	Sample	Inside	11.21	1.08	0.8	3.61	10.91	4.1	9	C	3	3
T0.A.S31.L001	T0.A	2017-09-06	Taylor	T00	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T0.B.S32.L001	T0.B	2017-09-06	Taylor	T00	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T0.C.S33.L001	T0.C	2017-09-06	Taylor	T00	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T10.A.S61.L001	T10.A	2017-09-08	Taylor	T10	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T10.B.S62.L001	T10.B	2017-09-08	Taylor	T10	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T10.C.S63.L001	T10.C	2017-09-08	Taylor	T10	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T11.A.S64.L001	T11.A	2017-09-10	Taylor	T11	A	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T11.B.S65.L001	T11.B	2017-09-10	Taylor	T11	B	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T11.C.S66.L001	T11.C	2017-09-10	Taylor	T11	C	NA	Taylor	Taylor	NA	Sample	Taylor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
